,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,ratio
1615,sendgrid-nodejs,https://github.com/sendgrid/sendgrid-nodejs,JavaScript,MIT License,2260,110,0,183,10,2.5,19,64,50,1.9,298,0.65542,angular,0.51
1617,botpress,https://github.com/botpress/botpress,TypeScript,GNU Affero General Public License v3.0,8982,52,0,148,2,24.5,41,465,318,0.7,3657,0.6553899999999999,angular,0.83
1640,argo-cd,https://github.com/argoproj/argo-cd,Go,Apache License 2.0,4672,35,0,355,4,17.0,39,892,559,1.9,94,0.65467,angular,0.91
1641,rules_nodejs,https://github.com/bazelbuild/rules_nodejs,Starlark,Apache License 2.0,462,45,0,150,4,11.6,29,380,266,1.6,847,0.65454,angular,0.86
1643,material-components-web,https://github.com/material-components/material-components-web,TypeScript,MIT License,15179,82,0,417,3,15.8,5,281,238,1.3,767,0.6544300000000001,angular,1.0
1671,verdaccio,https://github.com/verdaccio/verdaccio,TypeScript,MIT License,10937,93,0,228,8,3.2,16,114,85,1.5,379,0.6532899999999999,angular,0.88
1672,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,JavaScript,MIT License,18827,86,0,419,6,4.8,1,196,145,1.7,1126,0.65325,angular,0.89
1675,react-table,https://github.com/tannerlinsley/react-table,JavaScript,MIT License,13218,51,0,263,7,5.9,21,150,94,1.7,328,0.65322,angular,0.78
1687,G6,https://github.com/antvis/G6,TypeScript,MIT License,7370,47,0,78,9,25.1,25,439,341,2.2,80,0.65282,angular,0.99
1697,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,TypeScript,MIT License,7672,65,0,147,8,3.7,19,118,60,1.2,1340,0.65242,angular,0.94
1700,axe-core,https://github.com/dequelabs/axe-core,JavaScript,Mozilla Public License 2.0,3475,82,0,146,6,9.3,14,290,201,1.3,497,0.65232,angular,0.81
1721,ReactiveUI,https://github.com/reactiveui/ReactiveUI,C#,MIT License,6005,129,0,178,6,4.1,22,686,677,0.2,566,0.65169,angular,0.66
1753,gridsome,https://github.com/gridsome/gridsome,JavaScript,MIT License,7151,30,0,115,7,3.1,100,147,62,1.7,3201,0.6504300000000001,angular,1.0
1762,graphql,https://github.com/nestjs/graphql,TypeScript,MIT License,647,38,0,54,9,12.7,68,204,181,0.9,1676,0.6500100000000001,angular,0.83
1764,RSSHub,https://github.com/DIYgod/RSSHub,JavaScript,MIT License,14896,34,0,564,4,38.6,0,942,837,1.4,610,0.64985,angular,0.59
1807,uni-app,https://github.com/dcloudio/uni-app,JavaScript,Apache License 2.0,28430,30,0,115,3,71.1,180,317,97,1.3,1142,0.64831,angular,0.5
1817,amplify-cli,https://github.com/aws-amplify/amplify-cli,TypeScript,Apache License 2.0,1914,33,0,177,4,16.8,15,1369,839,2.4,173,0.64795,angular,0.94
1858,instantsearch.js,https://github.com/algolia/instantsearch.js,TypeScript,MIT License,2579,67,0,90,8,3.3,23,117,81,1.6,1079,0.64665,angular,0.97
1886,nodemon,https://github.com/remy/nodemon,JavaScript,MIT License,21759,125,1,149,8,0.3,4,80,59,2.5,5320,0.64568,angular,0.94
1890,commitlint,https://github.com/conventional-changelog/commitlint,TypeScript,MIT License,7109,60,0,111,10,7.7,1,266,234,0.5,5332,0.64542,angular,0.9
1892,vimtex,https://github.com/lervag/vimtex,TeX,MIT License,2987,88,0,126,5,12.6,9,114,99,6.2,84,0.6453800000000001,angular,0.5
1911,spinnaker,https://github.com/spinnaker/spinnaker,Shell,Apache License 2.0,7560,79,0,122,5,1.2,20,480,207,1.8,1083,0.64462,angular,0.85
1919,django-allauth,https://github.com/pennersr/django-allauth,Python,MIT License,6106,125,1,523,8,2.5,5,199,111,1.0,489,0.64439,angular,0.99
1954,ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,Other,42768,90,1,425,3,11.5,46,796,585,2.2,57,0.64307,angular,0.8
1957,server,https://github.com/CasparCG/server,C++,GNU General Public License v3.0,553,126,0,50,7,1.5,6,21,7,4.2,6982,0.643,angular,0.61
1965,webpack-merge,https://github.com/survivejs/webpack-merge,TypeScript,MIT License,2293,68,1,31,9,2.9,16,25,24,3.9,7945,0.64251,angular,0.7
1981,socket.io-client,https://github.com/socketio/socket.io-client,TypeScript,MIT License,8898,132,0,119,7,1.4,12,78,46,2.7,677,0.64179,angular,0.96
1985,sanity,https://github.com/sanity-io/sanity,TypeScript,MIT License,2232,59,0,51,4,37.8,51,242,116,1.1,1377,0.6416,angular,0.86
1995,yup,https://github.com/jquense/yup,TypeScript,MIT License,11995,77,0,121,7,2.6,15,251,154,1.7,553,0.6413399999999999,angular,0.75
2010,ant-design-vue,https://github.com/vueComponent/ant-design-vue,Vue,Other,13376,40,0,127,4,20.0,34,1310,1085,1.3,176,0.64078,angular,0.89
2014,downshift,https://github.com/downshift-js/downshift,JavaScript,MIT License,9129,42,0,189,12,2.3,48,43,27,2.4,359,0.64064,angular,0.96
2015,koa,https://github.com/koajs/koa,JavaScript,MIT License,30501,91,0,208,10,0.6,12,20,15,2.2,859,0.64062,angular,0.75
2016,fork-ts-checker-webpack-plugin,https://github.com/TypeStrong/fork-ts-checker-webpack-plugin,TypeScript,MIT License,1273,45,0,79,11,1.6,68,75,54,2.5,905,0.64055,angular,0.92
2019,java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,Java,Apache License 2.0,1232,71,0,206,4,37.3,0,570,545,1.1,1287,0.64052,angular,0.96
2045,nativescript-cli,https://github.com/NativeScript/nativescript-cli,JavaScript,Apache License 2.0,963,80,0,112,7,3.3,26,92,41,2.3,409,0.63973,angular,0.98
2061,ring-ui,https://github.com/JetBrains/ring-ui,JavaScript,Apache License 2.0,2546,96,0,91,4,28.2,222,346,346,0.2,720,0.6389100000000001,angular,0.57
2064,clarity,https://github.com/vmware/clarity,TypeScript,Other,6134,52,0,93,5,9.2,10,1175,1087,1.2,612,0.6388199999999999,angular,0.99
2072,agenda,https://github.com/agenda/agenda,JavaScript,Other,7121,88,0,116,11,1.9,2,135,99,1.4,2254,0.6383800000000001,angular,0.51
2078,cordova-android,https://github.com/apache/cordova-android,Java,Apache License 2.0,3105,149,1,238,10,1.6,11,84,46,2.4,246,0.6381899999999999,angular,0.56
2088,tinacms,https://github.com/tinacms/tinacms,TypeScript,Apache License 2.0,5305,18,0,64,8,49.7,14,170,118,1.6,733,0.6379100000000001,angular,0.57
2093,vector,https://github.com/timberio/vector,Rust,Mozilla Public License 2.0,6024,29,0,107,6,45.8,12,1962,1387,1.4,80,0.6378,angular,0.88
2109,billboard.js,https://github.com/naver/billboard.js,TypeScript,MIT License,4528,93,0,162,8,8.9,42,151,124,1.2,76,0.63722,angular,0.91
2117,apisix,https://github.com/apache/apisix,Lua,Apache License 2.0,4122,21,0,142,9,16.6,9,1018,858,2.7,52,0.63703,angular,0.95
2127,portainer,https://github.com/portainer/portainer,JavaScript,zlib License,16859,92,0,192,5,6.1,5,489,196,2.3,223,0.6368,angular,0.67
2140,copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin,JavaScript,MIT License,2543,63,1,45,8,1.6,16,51,47,2.2,11391,0.6362899999999999,angular,1.0
2151,design-system,https://github.com/salesforce-ux/design-system,JavaScript,Other,3020,65,0,72,7,7.8,18,21,8,1.2,5109,0.636,angular,0.59
2153,playwright,https://github.com/microsoft/playwright,TypeScript,Apache License 2.0,20021,14,0,84,5,58.3,30,1000,819,1.2,312,0.63595,angular,0.69
2163,X6,https://github.com/antvis/X6,TypeScript,MIT License,991,18,0,25,5,51.9,63,409,363,2.1,1312,0.63557,angular,1.0
2172,igraph,https://github.com/igraph/igraph,C,GNU General Public License v2.0,1099,194,0,51,7,7.2,6,153,113,3.9,279,0.63535,angular,0.68
2204,vite,https://github.com/vitejs/vite,TypeScript,MIT License,14402,9,0,105,7,27.4,43,628,552,1.9,231,0.6341100000000001,angular,0.87
2206,starship,https://github.com/starship/starship,Rust,ISC License,13887,22,0,206,5,11.1,28,378,261,1.8,229,0.63408,angular,0.99
2219,vuejs.org,https://github.com/vuejs/vuejs.org,JavaScript,MIT License,4767,85,0,669,8,2.7,3,58,24,0.4,1062,0.63348,angular,0.56
2233,react-native-paper,https://github.com/callstack/react-native-paper,TypeScript,MIT License,7285,51,0,192,5,6.1,23,379,289,2.5,83,0.6331100000000001,angular,0.96
2250,bull,https://github.com/OptimalBits/bull,JavaScript,Other,9891,92,1,186,9,1.8,12,123,71,1.9,441,0.63221,angular,0.73
2264,open62541,https://github.com/open62541/open62541,C,Other,1359,86,1,184,5,13.8,13,227,127,1.6,306,0.6319,angular,0.88
2267,reactstrap,https://github.com/reactstrap/reactstrap,JavaScript,MIT License,9757,59,0,235,7,2.3,12,142,108,1.2,521,0.63185,angular,0.93
2276,mathlib,https://github.com/leanprover-community/mathlib,Lean,Apache License 2.0,679,43,0,139,7,71.6,0,1227,1070,2.9,55,0.63157,angular,0.96
2287,echarts,https://github.com/apache/echarts,TypeScript,Apache License 2.0,44472,95,0,145,4,22.7,13,1049,582,1.7,42,0.63122,angular,0.57
2296,centreon,https://github.com/centreon/centreon,PHP,GNU General Public License v2.0,452,177,0,164,1,14.2,15,346,262,0.6,3008,0.63097,angular,0.6
2322,cssnano,https://github.com/cssnano/cssnano,CSS,MIT License,3665,70,0,84,9,0.8,13,40,16,3.3,1105,0.63015,angular,0.65
2325,google-api-python-client,https://github.com/googleapis/google-api-python-client,Python,Other,4353,130,1,152,5,1.9,22,186,164,1.4,796,0.6299399999999999,angular,0.97
2335,draft-js-plugins,https://github.com/draft-js-plugins/draft-js-plugins,TypeScript,MIT License,3674,59,0,192,8,3.7,34,252,240,0.8,149,0.62968,angular,0.84
2336,wire-webapp,https://github.com/wireapp/wire-webapp,TypeScript,GNU General Public License v3.0,973,55,0,42,8,35.4,29,464,419,1.1,104,0.62955,angular,0.92
2367,i18n,https://github.com/electron/i18n,TypeScript,Other,481,45,0,28,4,21.0,872,171,162,1.0,4635,0.6288699999999999,angular,1.0
2376,fineract,https://github.com/apache/fineract,Java,Other,533,107,0,194,6,15.7,1,149,136,1.5,343,0.6285,angular,0.51
2386,uuid,https://github.com/uuidjs/uuid,JavaScript,MIT License,10393,122,0,59,7,2.5,4,28,23,3.0,2653,0.6282300000000001,angular,0.97
2396,typegoose,https://github.com/typegoose/typegoose,TypeScript,MIT License,1062,47,0,84,6,6.5,37,85,70,2.8,345,0.62798,angular,0.91
2397,firewalld,https://github.com/firewalld/firewalld,Python,GNU General Public License v2.0,402,123,0,137,6,4.7,11,63,34,2.0,344,0.6279,angular,0.87
2416,mini-css-extract-plugin,https://github.com/webpack-contrib/mini-css-extract-plugin,JavaScript,MIT License,4137,35,1,56,8,1.4,16,128,99,2.7,4437,0.62734,angular,0.99
2422,ioredis,https://github.com/luin/ioredis,TypeScript,MIT License,8495,70,0,118,10,1.0,13,115,62,1.5,566,0.62716,angular,0.99
2427,webpack-dev-middleware,https://github.com/webpack/webpack-dev-middleware,JavaScript,MIT License,2196,103,0,105,6,3.3,8,106,95,2.2,502,0.62698,angular,1.0
2441,Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,JavaScript,MIT License,11972,68,1,308,8,1.9,9,88,56,2.0,428,0.6265,angular,0.89
2455,flutterfire,https://github.com/FirebaseExtended/flutterfire,Dart,"BSD 3-Clause ""New"" or ""Revised"" License",3716,45,0,289,3,10.2,6,1107,764,2.9,84,0.62612,angular,0.92
2461,google-cloud-python,https://github.com/googleapis/google-cloud-python,,Apache License 2.0,3449,85,2,311,8,2.0,7,35,29,1.6,1623,0.62593,angular,0.98
2462,Fuse,https://github.com/krisk/Fuse,JavaScript,Apache License 2.0,11810,105,0,71,9,6.7,16,52,46,1.5,296,0.6258199999999999,angular,0.64
2505,js-lingui,https://github.com/lingui/js-lingui,TypeScript,MIT License,2956,49,0,125,8,6.4,11,300,273,3.2,47,0.62429,angular,0.98
2528,super-productivity,https://github.com/johannesjo/super-productivity,TypeScript,MIT License,2804,49,0,55,7,40.8,69,291,150,2.8,30,0.62366,angular,0.79
2529,cucumber-js,https://github.com/cucumber/cucumber-js,TypeScript,MIT License,4112,117,0,142,7,3.6,12,109,86,1.5,182,0.62351,angular,0.63
2536,react-native-webview,https://github.com/react-native-webview/react-native-webview,TypeScript,MIT License,3401,30,1,179,10,2.6,52,384,277,1.8,156,0.62331,angular,0.92
2543,G2,https://github.com/antvis/G2,TypeScript,MIT License,10361,56,0,96,6,15.1,16,389,296,1.5,112,0.6230899999999999,angular,0.88
2566,netlify-lambda,https://github.com/netlify/netlify-lambda,JavaScript,MIT License,531,39,0,62,9,2.0,4,66,60,0.2,44953,0.62262,angular,0.99
2576,orbit,https://github.com/kiwicom/orbit,JavaScript,MIT License,758,41,0,58,8,19.8,77,279,250,1.2,141,0.62203,angular,0.76
2581,core,https://github.com/ArkEcosystem/core,TypeScript,MIT License,281,39,0,46,6,3.1,29,175,171,0.9,3891,0.6219,angular,0.73
2599,edgex-go,https://github.com/edgexfoundry/edgex-go,Go,Apache License 2.0,723,38,0,89,6,7.4,60,293,237,1.9,195,0.62158,angular,0.57
2602,serenity-js,https://github.com/serenity-js/serenity-js,TypeScript,Apache License 2.0,335,56,0,34,5,10.1,67,81,69,2.0,1405,0.62148,angular,0.51
2617,react-hooks-testing-library,https://github.com/testing-library/react-hooks-testing-library,TypeScript,MIT License,3095,26,0,46,10,4.8,18,84,81,3.5,427,0.62093,angular,0.84
2675,angularfire,https://github.com/angular/angularfire,TypeScript,MIT License,6523,61,1,187,5,2.9,24,437,400,1.6,231,0.6190399999999999,angular,0.88
2687,bpmn-js,https://github.com/bpmn-io/bpmn-js,JavaScript,Other,4445,83,0,44,5,3.8,34,72,49,2.2,1087,0.6186699999999999,angular,0.64
2694,Fomantic-UI,https://github.com/fomantic/Fomantic-UI,JavaScript,MIT License,2307,94,0,284,8,4.8,4,158,95,1.4,88,0.61849,angular,0.98
2706,respec,https://github.com/w3c/respec,JavaScript,Other,509,106,2,116,9,5.6,72,103,72,1.2,262,0.61824,angular,0.83
2715,express,https://github.com/expressjs/express,JavaScript,MIT License,51430,140,5,282,10,0.3,1,92,73,2.5,2414,0.6179899999999999,angular,0.61
2723,endless-sky,https://github.com/endless-sky/endless-sky,C++,Other,2629,84,0,195,2,11.7,3,312,178,2.0,750,0.61757,angular,0.92
2731,open-event-frontend,https://github.com/fossasia/open-event-frontend,JavaScript,Apache License 2.0,1775,46,0,131,10,27.2,17,1221,1049,3.6,0,0.61732,angular,0.96
2751,mikro-orm,https://github.com/mikro-orm/mikro-orm,TypeScript,MIT License,2379,34,0,69,6,20.0,26,397,353,1.9,80,0.61657,angular,0.98
2769,emqx,https://github.com/emqx/emqx,Erlang,Apache License 2.0,7158,98,0,72,6,3.5,32,281,183,1.5,160,0.6161300000000001,angular,0.97
2776,jsdoc,https://github.com/jsdoc/jsdoc,JavaScript,Apache License 2.0,11496,132,0,103,8,2.6,12,101,23,0.4,1149,0.61588,angular,1.0
2784,fabric.js,https://github.com/fabricjs/fabric.js,JavaScript,Other,17610,129,0,257,3,2.5,24,212,149,2.5,58,0.61575,angular,0.58
2785,google-auth-library-python,https://github.com/googleapis/google-auth-library-python,Python,Apache License 2.0,384,53,0,68,9,2.1,31,88,74,0.7,1160,0.61575,angular,0.95
2808,ice,https://github.com/alibaba/ice,TypeScript,MIT License,15990,51,0,28,6,14.7,32,437,371,1.3,365,0.6152,angular,0.74
2824,google-cloud-java,https://github.com/googleapis/google-cloud-java,Java,Apache License 2.0,1504,75,0,206,5,4.1,25,93,82,0.7,314,0.61492,angular,0.94
2829,google-api-go-client,https://github.com/googleapis/google-api-go-client,Go,Other,2525,114,0,75,4,6.1,21,133,116,0.9,693,0.6148100000000001,angular,0.98
2861,content,https://github.com/nuxt/content,JavaScript,Other,1210,10,0,73,5,16.8,22,210,113,1.7,1517,0.61379,angular,0.99
2870,toggl-button,https://github.com/toggl/toggl-button,JavaScript,Other,874,93,0,231,4,2.8,57,54,19,1.5,328,0.61361,angular,0.94
2880,serverless-application-model,https://github.com/aws/serverless-application-model,Python,Apache License 2.0,7618,52,0,204,8,2.2,16,220,116,1.1,142,0.61326,angular,0.5
2881,patternfly-react,https://github.com/patternfly/patternfly-react,TypeScript,MIT License,428,47,0,121,1,19.9,4131,476,316,1.9,558,0.61325,angular,0.87
2886,webiny-js,https://github.com/webiny/webiny-js,TypeScript,MIT License,4077,37,1,44,4,54.8,855,253,185,1.4,721,0.61316,angular,0.93
2889,probot,https://github.com/probot/probot,TypeScript,ISC License,6511,52,1,145,3,3.7,111,109,88,2.6,1009,0.61311,angular,0.98
2896,open-pixel-art,https://github.com/twilio-labs/open-pixel-art,JavaScript,MIT License,324,16,0,1932,6,15.5,0,679,467,1.6,33,0.61303,angular,0.73
2915,filebrowser,https://github.com/filebrowser/filebrowser,Go,Apache License 2.0,8508,65,0,97,5,2.2,15,136,110,1.9,581,0.61248,angular,0.94
2926,sendgrid-python,https://github.com/sendgrid/sendgrid-python,Python,MIT License,1083,108,0,194,6,2.0,19,40,26,1.9,152,0.61219,angular,0.57
2944,conventional-changelog,https://github.com/conventional-changelog/conventional-changelog,JavaScript,ISC License,5016,85,0,111,10,1.2,6,80,53,0.8,965,0.6115,angular,0.84
2945,patternfly,https://github.com/patternfly/patternfly,SCSS,,307,39,0,50,3,7.2,161,402,281,1.5,1441,0.61148,angular,1.0
2962,opentelemetry-js,https://github.com/open-telemetry/opentelemetry-js,TypeScript,Apache License 2.0,650,21,0,95,8,10.4,20,301,192,2.3,81,0.6109600000000001,angular,0.9
2979,next-auth,https://github.com/nextauthjs/next-auth,JavaScript,ISC License,4029,36,0,123,8,12.9,25,381,271,3.0,8,0.61051,angular,1.0
2993,open-event-server,https://github.com/fossasia/open-event-server,Python,GNU General Public License v3.0,2560,69,0,209,7,11.9,14,286,242,2.1,8,0.61027,angular,0.97
3005,mongodb-memory-server,https://github.com/nodkz/mongodb-memory-server,TypeScript,,1303,45,0,76,7,3.2,52,52,34,2.7,315,0.6099,angular,0.67
3014,baseweb,https://github.com/uber/baseweb,JavaScript,Other,5858,34,0,184,4,15.3,110,221,178,2.4,43,0.6096699999999999,angular,0.73
3016,contentful.js,https://github.com/contentful/contentful.js,JavaScript,MIT License,750,93,0,55,5,2.5,30,165,143,1.6,428,0.60958,angular,0.67
3021,swagger-editor,https://github.com/swagger-api/swagger-editor,JavaScript,Apache License 2.0,6707,81,0,112,7,2.7,26,91,63,0.6,408,0.60955,angular,0.56
3026,shaka-player,https://github.com/google/shaka-player,JavaScript,Apache License 2.0,4601,74,0,117,4,12.5,18,345,229,1.9,57,0.60946,angular,0.82
3029,lerna,https://github.com/lerna/lerna,JavaScript,MIT License,26112,62,2,270,8,1.2,3,168,21,1.1,3366,0.6093,angular,0.99
3034,code-server,https://github.com/cdr/code-server,TypeScript,MIT License,38965,23,1,109,6,16.6,23,461,289,2.2,123,0.60916,angular,0.69
3036,syndesis,https://github.com/syndesisio/syndesis,Java,Apache License 2.0,420,56,0,112,2,23.4,41,190,158,1.0,502,0.6091300000000001,angular,0.63
3046,jenkins-x-platform,https://github.com/jenkins-x/jenkins-x-platform,Makefile,Apache License 2.0,289,37,0,60,3,18.1,472,10,8,1.7,5692,0.6087899999999999,angular,0.78
3049,LinuxGSM,https://github.com/GameServerManagers/LinuxGSM,Shell,MIT License,2557,90,0,158,5,4.6,19,435,357,0.9,74,0.60864,angular,0.57
3050,nest-cli,https://github.com/nestjs/nest-cli,TypeScript,MIT License,851,45,0,55,9,7.5,17,126,106,1.0,397,0.6086,angular,0.8
3063,polished,https://github.com/styled-components/polished,JavaScript,MIT License,6558,51,0,77,8,2.2,20,18,16,1.6,1308,0.60837,angular,0.64
3090,yari,https://github.com/mdn/yari,HTML,Mozilla Public License 2.0,338,21,0,38,5,24.2,373,1212,1040,2.2,100,0.60785,angular,0.57
3096,System.IO.Abstractions,https://github.com/System-IO-Abstractions/System.IO.Abstractions,C#,MIT License,812,128,0,122,4,1.9,75,39,34,0.9,1004,0.6077199999999999,angular,0.7
3140,pact_broker,https://github.com/pact-foundation/pact_broker,Ruby,MIT License,519,106,0,62,7,8.7,25,20,12,1.8,209,0.60626,angular,0.97
3145,pact-jvm,https://github.com/pact-foundation/pact-jvm,Groovy,Apache License 2.0,817,88,0,168,7,10.1,26,76,42,2.4,11,0.60612,angular,0.6
3168,spartacus,https://github.com/SAP/spartacus,TypeScript,Apache License 2.0,453,47,0,92,2,18.1,423,2451,1855,1.1,113,0.60542,angular,0.88
3180,spoon,https://github.com/INRIA/spoon,Java,Other,1042,170,0,107,6,6.0,3,130,92,2.4,134,0.6052,angular,0.88
3182,axios-module,https://github.com/nuxt-community/axios-module,JavaScript,MIT License,963,42,0,70,8,1.8,14,62,46,1.8,931,0.60518,angular,0.95
3192,sendgrid-php,https://github.com/sendgrid/sendgrid-php,PHP,MIT License,1229,109,0,151,8,2.0,18,36,27,1.8,86,0.60487,angular,0.58
3206,cspell,https://github.com/streetsidesoftware/cspell,TypeScript,MIT License,256,49,0,35,6,6.5,131,437,427,0.7,595,0.60452,angular,0.81
3210,bench,https://github.com/frappe/bench,Python,GNU General Public License v3.0,721,80,2,95,10,4.4,5,34,16,1.4,2179,0.60439,angular,0.63
3220,redoc,https://github.com/Redocly/redoc,TypeScript,MIT License,12479,64,1,142,13,3.0,20,173,62,1.0,172,0.60415,angular,0.97
3225,cheerio,https://github.com/cheeriojs/cheerio,JavaScript,MIT License,23160,113,0,130,6,3.2,2,364,345,1.1,279,0.60402,angular,0.95
3232,terraform-aws-eks,https://github.com/terraform-aws-modules/terraform-aws-eks,HCL,Other,1612,32,1,186,12,2.6,13,201,107,2.4,102,0.60387,angular,0.93
3233,stryker,https://github.com/stryker-mutator/stryker,TypeScript,Apache License 2.0,1738,60,0,87,5,9.4,2,194,164,1.8,664,0.6038399999999999,angular,0.94
3237,apollo-tooling,https://github.com/apollographql/apollo-tooling,TypeScript,MIT License,2716,54,1,167,6,6.2,22,119,57,0.8,456,0.60377,angular,0.6
3263,Carp,https://github.com/carp-lang/Carp,Haskell,Other,3735,61,0,59,5,15.4,7,277,197,2.8,108,0.60316,angular,0.93
3298,phpMyFAQ,https://github.com/thorsten/phpMyFAQ,PHP,Mozilla Public License 2.0,483,197,0,74,8,8.7,8,84,56,0.6,283,0.60247,angular,0.92
3307,vis-timeline,https://github.com/visjs/vis-timeline,JavaScript,Other,605,95,0,187,6,8.5,27,156,131,1.1,18,0.60218,angular,0.96
3308,ember-intl,https://github.com/ember-intl/ember-intl,TypeScript,MIT License,409,76,0,90,7,7.7,23,64,52,1.1,132,0.60217,angular,0.89
3317,rustlings,https://github.com/rust-lang/rustlings,Rust,MIT License,13696,65,0,163,3,4.7,7,93,73,1.8,752,0.6019899999999999,angular,0.65
3326,ReactiveTraderCloud,https://github.com/AdaptiveConsulting/ReactiveTraderCloud,TypeScript,Apache License 2.0,1518,63,0,117,8,15.7,10,97,90,0.2,245,0.6016199999999999,angular,0.89
3351,blockchain-wallet-v4-frontend,https://github.com/blockchain/blockchain-wallet-v4-frontend,TypeScript,GNU Affero General Public License v3.0,302,47,0,46,5,49.4,325,167,158,0.2,412,0.60095,angular,0.65
3359,sendgrid-java,https://github.com/sendgrid/sendgrid-java,Java,MIT License,376,90,0,99,9,2.2,19,51,42,1.2,150,0.6008,angular,0.61
3361,standard-version,https://github.com/conventional-changelog/standard-version,JavaScript,ISC License,4513,58,0,67,9,1.0,5,69,32,1.2,2517,0.6007100000000001,angular,0.93
3371,KaTeX,https://github.com/KaTeX/KaTeX,JavaScript,MIT License,13111,91,0,126,7,5.5,1,175,144,1.6,248,0.6005699999999999,angular,0.99
3387,casbin,https://github.com/casbin/casbin,Go,Apache License 2.0,8409,46,0,80,9,2.5,66,81,68,2.3,90,0.60019,angular,0.54
3389,node-serialport,https://github.com/serialport/node-serialport,JavaScript,MIT License,4656,126,0,168,7,0.7,7,76,49,2.0,142,0.60015,angular,0.61
