,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_train,docs_train,feat_train,fix_train,refactor_train,test_train,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
0,sequelize,0.66,0.65,0.64,156,335,184,603,114,59,139,152,133,361,55,31,17,183,51,242,59,28
1,ionic-framework,0.71,0.69,0.69,1759,1300,716,2820,665,520,1142,895,479,1310,510,332,617,405,237,1510,155,188
2,element3,0.53,0.54,0.52,387,195,57,337,244,98,234,151,39,178,123,66,153,44,18,159,121,32
3,vite,0.65,0.64,0.63,381,184,300,757,152,63,263,76,206,409,99,49,118,108,94,348,53,14
4,vee-validate,0.75,0.74,0.73,449,446,273,263,123,71,218,248,183,178,94,54,231,198,90,85,29,17
5,stencil,0.59,0.61,0.58,1165,123,590,1771,322,481,756,65,328,948,253,321,409,58,262,823,69,160
6,pgjdbc,0.75,0.72,0.7,108,73,53,224,60,85,53,34,38,130,48,59,55,39,15,94,12,26
7,ant-design,0.76,0.76,0.75,635,1603,591,1653,238,246,361,957,359,1032,125,146,274,646,232,621,113,100
8,rest.js,0.67,0.53,0.57,100,238,121,206,76,219,99,93,64,128,47,145,1,145,57,78,29,74
9,gatsby,0.68,0.67,0.67,3898,869,1090,2307,104,80,2240,659,760,1255,49,46,1658,210,330,1052,55,34
10,instantsearch.js,0.53,0.54,0.53,804,380,433,606,65,95,527,262,216,334,23,68,277,118,217,272,42,27
11,commitlint,0.64,0.67,0.62,304,183,81,180,54,53,205,112,52,103,20,21,99,71,29,77,34,32
12,aks-engine,0.69,0.7,0.69,604,185,456,542,84,315,327,121,269,358,45,192,277,64,187,184,39,123
13,angular,0.72,0.69,0.68,1098,3766,2394,5065,2698,1146,1097,1867,1794,3071,1423,448,1,1899,600,1994,1275,698
14,angular.js,0.78,0.78,0.75,1238,2938,587,1779,385,288,751,1742,391,1101,209,135,487,1196,196,678,176,153
15,vue-test-utils,0.73,0.69,0.7,117,418,121,238,78,70,39,254,80,137,60,55,78,164,41,101,18,15
16,material-components-web,0.56,0.56,0.5,692,649,690,912,212,150,490,503,357,543,70,20,202,146,333,369,142,130
17,zeebe,0.71,0.77,0.72,4241,236,714,745,85,371,2292,114,566,515,40,308,1949,122,148,230,45,63
18,RSSHub,0.83,0.82,0.81,94,376,1398,907,50,79,49,307,754,515,45,72,45,69,644,392,5,7
19,loopback-next,0.81,0.8,0.8,2540,513,831,764,144,104,1306,364,548,532,122,66,1234,149,283,232,22,38
20,renovate,0.63,0.63,0.6,1034,444,1215,2982,1113,128,587,223,684,1939,673,44,447,221,531,1043,440,84
21,angular-cli,0.7,0.62,0.61,359,498,906,2133,773,508,359,375,632,1240,285,215,0,123,274,893,488,293
22,deno,0.67,0.64,0.62,187,218,412,722,324,82,74,117,281,435,204,56,113,101,131,287,120,26
23,ng-bootstrap,0.64,0.51,0.45,439,176,309,410,143,119,313,86,199,227,99,34,126,90,110,183,44,85
24,serverless,0.76,0.76,0.76,331,249,252,428,433,224,223,189,159,250,185,144,108,60,93,178,248,80
25,vuetify,0.81,0.8,0.8,837,2556,523,2177,501,199,502,1060,399,1494,442,179,335,1496,124,683,59,20
26,camunda-bpm-platform,0.66,0.66,0.65,5180,58,2201,3471,294,734,2708,34,1351,2282,284,504,2472,24,850,1189,10,230
27,node-mongodb-native,0.63,0.62,0.61,306,191,223,521,585,686,157,94,158,286,362,450,149,97,65,235,223,236
28,components,0.74,0.71,0.68,1125,761,943,3001,537,146,898,427,546,1763,223,51,227,334,397,1238,314,95
29,js-ipfs,0.78,0.72,0.73,2192,403,461,702,107,192,1247,222,329,444,46,146,945,181,132,258,61,46
30,goreleaser,0.71,0.71,0.7,194,318,275,473,76,111,116,170,139,282,63,98,78,148,136,191,13,13
31,pnpm,0.68,0.61,0.63,2099,249,747,1691,545,353,1345,168,515,862,350,170,754,81,232,829,195,183
32,vue-cli,0.74,0.73,0.72,553,381,478,950,135,143,279,191,332,591,96,95,274,190,146,359,39,48
33,axe-core,0.73,0.7,0.67,318,119,225,527,59,66,208,70,140,296,17,57,110,49,85,231,42,9
34,verdaccio,0.57,0.5,0.5,690,131,132,318,312,84,320,120,50,207,245,58,370,11,82,111,67,26
35,webiny-js,0.65,0.66,0.62,1520,60,1460,3906,510,471,1023,58,772,2354,272,277,497,2,688,1552,238,194
36,vant,0.79,0.75,0.74,905,839,904,763,105,145,440,452,712,507,62,24,465,387,192,256,43,121
37,chakra-ui,0.62,0.51,0.46,1745,742,344,764,253,132,1215,372,140,378,182,101,530,370,204,386,71,31
38,G2,0.65,0.61,0.59,461,94,494,743,143,110,259,18,298,492,93,67,202,76,196,251,50,43
39,rxjs,0.63,0.61,0.6,852,667,405,671,675,509,507,324,330,393,363,350,345,343,75,278,312,159
40,super-productivity,0.67,0.7,0.68,391,99,3393,1206,626,101,291,35,2087,727,341,9,100,64,1306,479,285,92
41,electron-builder,0.64,0.65,0.62,151,173,567,872,98,74,57,123,378,472,75,56,94,50,189,400,23,18
42,serenity-js,0.63,0.62,0.6,306,217,175,274,56,83,191,127,123,149,41,36,115,90,52,125,15,47
43,reaction,0.59,0.56,0.56,811,180,1299,1399,1590,473,410,104,851,1020,853,213,401,76,448,379,737,260
44,stryker,0.51,0.51,0.47,228,102,330,261,91,116,155,40,199,171,56,56,73,62,131,90,35,60
45,lerna,0.63,0.59,0.57,441,86,265,356,177,125,284,46,123,229,120,68,157,40,142,127,57,57
46,influxdb,0.64,0.61,0.58,1028,81,1543,2028,361,184,498,60,923,1307,222,125,530,21,620,721,139,59
47,superset,0.48,0.55,0.47,358,141,482,881,134,106,202,110,300,554,80,15,156,31,182,327,54,91
48,Semantic-UI-React,0.74,0.71,0.72,313,550,252,529,66,68,189,298,163,298,62,57,124,252,89,231,4,11
49,karma,0.66,0.59,0.59,554,177,207,381,128,81,373,126,127,180,44,67,181,51,80,201,84,14
50,fxa,0.62,0.64,0.61,1633,51,1968,4358,710,51,938,21,1123,2701,464,16,695,30,845,1657,246,35
51,jina,0.61,0.58,0.58,461,465,649,971,474,298,223,297,436,631,255,149,238,168,213,340,219,149
52,material,0.68,0.7,0.66,318,489,389,1892,149,71,210,276,234,1092,115,58,108,213,155,800,34,13
53,taro,0.64,0.64,0.63,997,479,1253,2611,308,129,564,362,864,1422,152,102,433,117,389,1189,156,27
